Home,Away,Date,Favorite,Spread,TeamWin,WinPoints,LosePoints,Homeptsposs,AwayPtsposs,HomeeFG,AwayeFG,HomeTOV,AwayTOV,HomeOREB,AwayOREB,HomeFTR,AwayFTR,HomeRest,AwayRest,Pick,OT
TOR,NOP,10/22/19,TOR,7,TOR,130,122,113,108.9,47.6,51.5,14.8,17,37.1,27.1,31.7,16.7,3+,3+,,TRUE
LAC,LAL,10/22/19,LAL,3.5,LAC,112,102,117.9,106.3,58.6,51.2,14.7,15.6,25.6,26.5,21,17.6,3+,3+,,
CHA,CHI,10/23/19,CHI,3,CHA,126,125,120,120.2,64.2,51,18.1,11.5,25.6,40.4,14.9,17.1,3+,3+,,
ORL,CLE,10/23/19,ORL,8,ORL,94,85,94,85.9,48.3,42.1,13,16.2,16.7,23.7,12.8,11.2,3+,3+,,
IND,DET,10/23/19,IND,7.5,DET,119,110,107.9,115.5,50.6,59.6,14.9,17.5,26,27.5,22.5,33.8,3+,3+,,
MIA,MEM,10/23/19,MIA,7.5,MIA,120,101,104.3,88.6,51.2,45.5,18.3,21.1,25.5,23.6,38.8,22.5,3+,3+,,
PHI,BOS,10/23/19,PHI,5,PHI,107,93,103.9,91.2,47.6,40.6,16.5,10.8,32,20.3,31.3,22.2,3+,3+,,
BRK,MIN,10/23/19,BRK,3.5,MIN,127,126,107.7,107.7,55,48.6,13.7,11.1,20.7,25,15,20.4,3+,3+,,TRUE
DAL,WAS,10/23/19,DAL,8.5,DAL,108,100,104.9,94.3,53.3,45.7,19.4,16.2,18.2,24.6,35.5,16.3,3+,3+,,
SAS,NYK,10/23/19,SAS,10,SAS,120,111,109.2,100.9,54.8,52.1,19.3,12.7,22.2,12,34.9,13.8,3+,3+,,
UTA,OKC,10/23/19,UTA,9,UTA,100,95,100,94.1,47.8,44.6,11,15.8,20.4,21.8,15.6,25.3,3+,3+,,
PHX,SAC,10/23/19,SAC,1.5,PHX,124,95,112.7,86.2,55.6,44.8,12.7,24.8,24.5,28.8,15.5,19.5,3+,3+,,
POR,DEN,10/23/19,POR,1.5,DEN,108,100,98,104.9,45.4,53.1,19.6,19.4,30,24.5,24.1,27.2,3+,3+,,
DET,ATL,10/24/19,DET,1.5,ATL,117,100,102,116,47.1,57.6,14.3,13,25.5,23.8,23.5,21.2,3+,3+,,
HOU,MIL,10/24/19,HOU,1.5,MIL,117,111,101.8,107.3,45.6,54.5,12.8,10.1,19.4,15.5,32.2,9.1,3+,3+,,
GSW,LAC,10/24/19,LAC,1,LAC,141,122,113,133,47,73.8,12,18.9,31,18.2,29.9,28.8,3+,1,,
BOS,TOR,10/25/19,BOS,2.5,BOS,112,106,107.7,102.9,44.5,59,9.6,22.3,35.3,14,13.9,18.4,1,2,,
CHA,MIN,10/25/19,MIN,5,MIN,121,99,94.3,114.2,51.2,53.8,19,16,20.4,31.4,15.7,25.3,1,1,,
BRK,NYK,10/25/19,BRK,8,BRK,113,109,102.8,99.1,57.7,57.4,23.9,23.6,26.1,22.4,29.5,19.8,1,1,,
NOP,DAL,10/25/19,NOP,2,DAL,123,116,111.5,118.3,53.6,55.9,13.5,10.6,26.4,25,11.2,20.7,2,1,,
MEM,CHI,10/25/19,CHI,2,CHI,110,102,96.2,102.8,46.8,49.5,17,13.2,29.8,23.6,15.1,19.6,1,1,,
OKC,WAS,10/25/19,OKC,8.5,WAS,97,85,82.5,92.4,42.8,45.9,18.4,14.3,15.4,21.8,16.9,8.2,1,1,,
DEN,PHX,10/25/19,DEN,12,DEN,108,107,100.9,100.9,42.9,44.2,13.1,17,21.1,23.5,31.9,36.5,1,1,,TRUE
SAC,POR,10/25/19,POR,1.5,POR,122,112,106.7,117.3,51.1,60.6,16.2,15.4,25.5,19,26.4,22.4,1,1,,
LAL,UTA,10/25/19,LAL,3.5,LAL,95,86,99,90.5,44.2,47.1,14.6,24.2,27.8,17.1,22.4,29,2,1,,
MIL,MIA,10/26/19,MIL,11.5,MIA,131,126,102.5,106.5,52.7,53.5,14.8,14.6,7.1,23,28.7,22.8,1,2,,TRUE
DET,PHI,10/26/19,PHI,4,PHI,117,111,103.7,106.4,59.2,55.7,21.5,20.2,18.6,26.1,27.6,23.5,1,2,,
ATL,ORL,10/26/19,ORL,2.5,ATL,103,99,101,98,56.5,37.9,17.6,9.9,19.5,31.2,9.5,24.2,1,2,,
NYK,BOS,10/26/19,BOS,5,BOS,118,95,92.2,113.6,43.1,53.2,25.5,12.6,38.9,26.8,32.5,20.7,0,0,,
CLE,IND,10/26/19,IND,4.5,CLE,110,99,110,99,56.9,50.6,19,17,32.6,20.8,24.4,12.8,2,2,,
CHI,TOR,10/26/19,TOR,3,TOR,108,84,79.2,100.9,34.5,55.5,14.2,22.4,23.9,22.7,17.5,20.7,0,0,,
HOU,NOP,10/26/19,HOU,11.5,HOU,126,123,113.6,110.8,52.7,55,17.3,15.3,27.5,24.1,28.7,13.1,1,0,,
SAS,WAS,10/26/19,SAS,11.5,SAS,124,122,124,123.2,50.9,57.9,9,13.1,42.1,31.4,13,12.6,2,0,,
UTA,SAC,10/26/19,UTA,9,UTA,113,81,115.3,82.7,67.9,41.4,21.4,18.4,17.1,16,9.2,17.3,0,0,,
PHX,LAC,10/26/19,LAC,10,PHX,130,122,125,116.3,59.9,52.3,15.4,11.5,27.7,23.1,31.4,35.6,0,1,,
OKC,GSW,10/27/19,OKC,1,OKC,120,92,112.5,88.5,65.2,35.3,22.1,14.4,21.6,27.4,21.5,30,1,2,,
MEM,BRK,10/27/19,BRK,4,MEM,134,133,115.5,113.7,55.3,51,10.3,14.5,21.4,29.5,19.4,30,1,1,,TRUE
DAL,POR,10/27/19,DAL,2.5,POR,121,119,111.2,113.1,46.3,56.9,11.2,15,27.9,22.2,35.2,25.3,1,1,,
MIN,MIA,10/27/19,MIN,7,MIN,116,109,112.6,105.8,50,58.2,15.5,22.3,32.7,25.6,27.5,11.9,1,0,,
LAL,CHA,10/27/19,LAL,13.5,LAL,120,101,117.6,100,58.6,44,13.7,15.8,26.1,29.8,12,23.3,1,1,,
NYK,CHI,10/28/19,CHI,2,NYK,105,98,110.5,103.2,46.7,47.6,17.9,10.6,45.8,21.2,22.2,18.8,1,1,,
DET,IND,10/28/19,IND,2,DET,96,94,100,98.9,53.7,44.7,20.8,8.4,22.2,24.1,11.1,10.6,1,1,,
ATL,PHI,10/28/19,PHI,6.5,PHI,105,103,98.1,100,48.2,48.3,20,21,26.9,26.9,26.2,22.7,1,1,,
TOR,ORL,10/28/19,TOR,5,TOR,104,95,99,91.3,44.7,44.9,16.2,15.4,19.6,14.5,32.9,17,1,1,,
NOP,GSW,10/28/19,NOP,2.5,GSW,134,123,110.9,121.8,53.9,55.8,13.6,16.4,25,42.9,11.9,17.5,1,0,,
MIL,CLE,10/28/19,MIL,15.5,MIL,129,112,122.9,105.7,61.4,51,11.4,11.4,20.8,20,17.4,10.1,1,1,,
HOU,OKC,10/28/19,HOU,10,HOU,116,112,110.7,108.7,48.9,50.5,13.6,14.6,24.5,33.3,31.1,18.1,1,0,,
SAS,POR,10/28/19,SAS,6,SAS,113,110,104.6,100.9,52.4,44,16.7,9.2,18,23.3,28.2,22.2,1,0,,
PHX,UTA,10/28/19,UTA,5,UTA,96,95,92.2,92.3,49.4,45.1,15.5,22.1,6.5,21.3,20,45.1,1,1,,
SAC,DEN,10/28/19,DEN,5,DEN,101,94,102.2,107.5,46.2,41.8,14.1,12.9,32.2,43.3,11,19.6,1,2,,
LAC,CHA,10/28/19,LAC,15.5,LAC,111,96,109,96,55.4,51.8,21.8,22,27.9,23.4,23.2,12.2,1,0,,
MIA,ATL,10/29/19,MIA,8.5,MIA,112,97,106.7,93.3,54.1,48.8,26.7,19.2,38.6,22,45.8,19.3,0,0,,
DEN,DAL,10/29/19,DEN,5,DAL,109,106,115.2,117.2,53.3,56.5,12,9.7,32,21.6,10,16.7,0,1,,
LAL,MEM,10/29/19,LAL,11.5,LAL,120,91,110.1,84.3,50.6,36.3,16.5,19.4,27.1,27,38.4,23.2,1,1,,
ORL,NYK,10/30/19,ORL,9.5,ORL,95,83,106.7,93.3,48.9,42.1,10.1,12.4,28.8,23.5,10.2,17.5,1,1,,
CLE,CHI,10/30/19,CHI,2,CLE,117,111,121.9,114.4,59,51.1,19.8,7.2,35,23.1,32.1,21.3,1,1,,
PHI,MIN,10/30/19,PHI,7,PHI,117,95,105.4,85.6,51.6,45.7,19.8,19.8,36,14,31,35,1,2,,
BOS,MIL,10/30/19,MIL,3.5,BOS,116,105,112.9,104,53.8,54.9,9.9,15,20.4,14.3,18.7,18.3,3+,1,,
BRK,IND,10/30/19,BRK,3,IND,118,108,108,115.8,49.5,52.6,20,8.9,41.4,25.5,17.2,17.7,2,1,,
TOR,DET,10/30/19,TOR,9.5,TOR,125,113,120.4,107.7,66.9,54.5,14.6,19.2,8.3,27.7,11.6,19.8,1,1,,
OKC,POR,10/30/19,POR,1.5,POR,102,99,93.4,95.3,41.7,49.4,17.9,17.8,27.3,20,34.5,20,1,1,,
WAS,HOU,10/30/19,HOU,8,HOU,159,158,140.2,142,73.6,64.6,17,11.6,28.9,35.8,26.4,25.2,3+,1,,
SAC,CHA,10/30/19,SAC,7.5,CHA,118,111,108.8,115.7,53.1,64.3,14.7,20.5,28.3,26.2,9.4,12,1,1,,
UTA,LAC,10/30/19,UTA,7,UTA,110,96,111.1,98,61.9,52.4,15.2,20.4,10.8,22.7,13.9,12.2,1,1,,
GSW,PHX,10/30/19,GSW,5,PHX,121,110,103.8,112.1,48.8,53.6,15.1,15.9,18.8,31.5,37,18.9,1,1,,
ATL,MIA,10/31/19,MIA,6.5,MIA,106,97,100,109.3,44.9,56,16.5,14.4,36.4,23.9,20.9,14.3,1,1,,
NOP,DEN,10/31/19,DEN,4,NOP,122,107,118.4,104.9,63,52.2,15.5,14.7,13.2,19.1,33.3,15.7,2,1,,
LAC,SAS,10/31/19,LAC,5,LAC,103,97,102,96,45.6,49.4,11.9,17.8,26.3,19.6,22,23.1,0,2,,
IND,CLE,11/01/19,IND,7,IND,102,95,95.3,89.6,43.2,43.1,12.1,15.1,24.6,16.9,20,23,1,1,,
BRK,HOU,11/01/19,HOU,4.5,BRK,123,116,111.8,105.5,60.6,47.5,20,10.9,26.7,22,23.5,22.2,1,1,,
ORL,MIL,11/01/19,MIL,4.5,MIL,123,91,87.5,118.3,44,59.7,15.4,13.5,18.6,23.4,12.2,12.9,1,1,,
BOS,NYK,11/01/19,BOS,9,BOS,104,102,107.2,103.1,52,47.3,14.4,13.3,7.5,28.8,36.5,15.1,1,1,,
CHI,DET,11/01/19,CHI,4,CHI,112,106,109.9,102.9,52.8,51.8,16.8,15.7,28.3,25,20.2,21.4,1,1,,
DAL,LAL,11/01/19,LAL,1,LAL,119,110,99.1,107.2,46.1,53.6,20.7,9.9,38.5,13.7,15.7,16.7,2,2,,TRUE
SAC,UTA,11/01/19,UTA,4.5,SAC,102,101,108.5,107.4,53.6,55.5,18.1,18.1,28.3,25,14.3,27.4,1,1,,
GSW,SAS,11/01/19,SAS,7,SAS,127,110,111.1,127.3,54.2,54.3,11.1,11.1,15.6,34.6,22.6,28,1,0,,
OKC,NOP,11/02/19,OKC,2.5,OKC,115,104,110.6,101,53.9,48.4,11.5,15.5,20,33.3,20,13.8,1,1,,
DET,BRK,11/02/19,BRK,4,DET,113,109,109.8,105.8,49.5,51.6,7.8,14.6,19.2,26.5,25.6,14.3,0,0,,
ORL,DEN,11/02/19,DEN,4,DEN,91,87,92.6,96.8,46.5,43.2,17,14.9,24.5,23.5,8.2,38.4,0,1,,
MIL,TOR,11/02/19,MIL,6.5,MIL,115,105,116.2,105,53.4,49.4,12.1,14,25.5,17.6,22.5,26.5,0,2,,
MEM,PHX,11/02/19,PHX,3,PHX,114,105,102.9,110.8,54.1,58,19.6,16.7,28.9,22.2,14,13.6,2,2,,
WAS,MIN,11/02/19,WAS,3,MIN,131,109,95.6,113.9,45.3,63.3,14.9,19.1,19.7,20.5,24.2,12.9,2,2,,
GSW,CHA,11/02/19,CHA,6,CHA,93,87,95.6,101.1,50,45.3,19.8,14.1,20.5,32.7,13.2,19.3,0,2,,
POR,PHI,11/02/19,PHI,1,PHI,129,128,121.9,121.7,69.9,55.6,17.1,10.4,10.8,30.8,24.4,9.3,2,2,,
IND,CHI,11/03/19,IND,2,IND,108,95,103.9,91.3,51.8,47.1,17.5,17.3,24.5,24.1,23.5,16.7,1,1,,
MIA,HOU,11/03/19,HOU,3,MIA,129,100,118.3,92.6,62.9,48.1,16.5,20.4,19,13.7,19.3,30.8,2,1,,
